Position,Menge,Einheit,Benennung,Sachnummer,Bemerkung,Einzelpreis,Gesamtpreis
1,1,Stk.,GehÑuse und Coaster,,"420g PLA im 3D Druck, Einzelpreis ist kg Preis",9.74’,4.09’
2,24,Stk.,Gewindeschraube,M2.3x8,Verbindung der Teile,0.02’,0.48’
3,2,Stk.,Gewindeschraube,M2.3x10,Drehpunkt des Schiebers,0.02’,0.04’
4,40,Stk.,Neodymium Magnete,,Wzone 5x2mm Small Magnet; FÅr Coaster und Heber,0.06’,2.40’
5,1,Stk.,Microcontroller,U2,Raspberry Pi Pico2 Microcontroller Dev-Board,14.00’,14.00’
6,1,Stk. ,DC/DC Step Up converter,U1,VISSQH; Akku 3.7V nach 5V Vcc,0.60’,0.60’
7,2,Stk.,DC Motor Treiber,"U3, U4",TB6612FNG Entwicklungsboard,4.20’,8.40’
8,4,Stk.,TT Motor,"U5, U6, U7, U8",GUUZI DC Motor 3-6V mit 1:48 Getriebe und Rad,3.25’,12.99’
9,2,Stk. ,Tischkanten-Sensor,"U9, U10",EBKSQS IR Infrared Obstacle Sensor zur Tischkantenerkennung vor Frontantrieb,1.50’,3.00’
10,1,Stk.,Hindernis-Sensor,U11,"HC-SR04, Ultraschall Sensor zur Montage in Fahrtrichtung",1.50’,1.50’
11,1,Stk.,Inertialsensor,U12,ICQUANZX GY-521 MPU6050; Navigationssensor,5.59’,5.59’
12,2,Stk.,Auswurf/Aufnahme Servo,"U13, U14",MT90 Servo,2.20’,4.40’
13,1,Stk.,Li-Ion Akku,BT1,18650 3.7V 1200mAh Akku inkl. Charger,3.00’,3.00’
14,1,Stk.,VM-Elko,C1,470uF Elektrolyt Kondensator,0.30’,0.30’
15,1,Stk.,VCC-Elko,C2,100uF Elektrolyt Kondensator,0.10’,0.10’
16,4,Stk.,Motor-Entstîr Kondensator,"C3, C4, C5, C6",100nF Keramik Kondensator zur Verhinderung von Induktionen beim éndern der Antriebsrichtung,0.04’,0.16’
17,1,Stk.,Hauptschalter,SW1,GehÑusemontage Schalter,0.15’,0.15’
18,1,Stk.,Hauptplatine,,"Lochrasterplatine zur Kombination von Microcontroller, Leistungselektronik und Steckverbindern",0.89’,0.89’
19,9,Stk.,Steckverbinder,,Leitungen von Hauptplatine zu Sensorik,0.05’,0.45’
20,1,Stk.,Pfostenleiste,,"1x40 Pol 2.54mm gerade, Verbindung von Modulplatinen mit Hauptplatine",0.60’,0.60’
